projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Magic Number Test;testCompareDirectorySizes;98;98
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Magic Number Test;testCompareDirectorySizes;99;99
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Magic Number Test;testCompareDirectorySizes;100;100
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Lazy Test;testNonexistantFile, testCompareDirectorySizes; , 90-90 , 98-98 , 99-99 , 100-100; , 90-90 , 98-98 , 99-99 , 100-100
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Assertion Roulette;testNonexistantFile;89-89;89-89
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;General Fixture;setUp;46;46
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;General Fixture;setUp;47;47
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;General Fixture;setUp;48;48
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;General Fixture;setUp;50;50
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Mystery Guest;testNonexistantFile;88;88
commons-io;ValidatingObjectInputStreamTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/serialization/ValidatingObjectInputStreamTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java;JUnit5;229;23;Lazy Test;acceptCustomMatcher, rejectCustomMatcher, acceptPattern, rejectPattern, acceptWildcard, rejectWildcard, ourTestClassNotAccepted, ourTestClassOnlyAccepted, reject, rejectPrecedence; , 81-82 , 90-91 , 99-100 , 108-109 , 117-118 , 126-127 , 136-137 , 144-145 , 185-186 , 195-196; , 81-82 , 90-91 , 99-100 , 108-109 , 117-118 , 126-127 , 136-137 , 144-145 , 185-186 , 195-196
commons-io;ValidatingObjectInputStreamTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/serialization/ValidatingObjectInputStreamTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java;JUnit5;229;23;Lazy Test;rejectCustomMatcher, rejectPattern, rejectWildcard, rejectOnly, customInvalidMethod; , 90-92 , 108-110 , 126-128 , 205-206 , 225-226; , 90-92 , 108-110 , 126-128 , 205-206 , 225-226
commons-io;ValidatingObjectInputStreamTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/serialization/ValidatingObjectInputStreamTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java;JUnit5;229;23;Eager Test;rejectCustomMatcher;90, 90;90, 90
commons-io;ValidatingObjectInputStreamTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/serialization/ValidatingObjectInputStreamTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java;JUnit5;229;23;Eager Test;rejectPattern;108, 108;108, 108
