projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLine,testSmellLineBegin,testSmellLineEnd
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedUnsignedInteger,168,168,175
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedLong,177,177,184
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedFloat,212,212,221
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedDouble,242,242,251
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testSymmetryOfLong,281,281,300
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Lazy Test,testEOFException,null,null,null
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Lazy Test,testSwapShort,null,null,null
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Lazy Test,testSwapShort,null,null,null
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Lazy Test,testSwapShort,null,null,null
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Lazy Test,testSwapShort,null,null,null
